spec,diff,wald_p
v/u (Barnichon),1.3543653286941502,0.005561809407042654
"v/u (Barnichon), drop 2021-22",1.10939350583845,0.04074804338340604
"v/u (Barnichon), pre-2020",0.8866601737404982,0.13092638157517
"v/u (Barnichon), n_lags=12",2.102010375686361,5.651129764623578e-05
"v/u JOLTS only, 2001+",1.641516215250377,0.00029679347382795604
u-gap tightness,0.8822634850182411,0.10771732947036676
wage cyclical (vs trend),-0.9907040169338037,0.09757144945426302
demand-driven (Shapiro),0.7095879797348952,0.4185250636906853
exp. de-anchoring (5y-10y),0.6788065887888594,0.2613682291090006
