months_after_shock,hot,slack,linear_no_state,hot_lower60,hot_upper60,slack_lower60,slack_upper60,hot_lower90,hot_upper90,slack_lower90,slack_upper90
0,0.10528896965306295,-0.07669415907938489,-0.0016957181042736354,0.05160037783611787,0.15897756147000802,-0.11520930031872298,-0.03817901784004679,0.0003486969120046618,0.21022924239412122,-0.1519762495483858,-0.001412068610383968
1,0.22478262451239392,-0.13978274570487836,0.00624337477466029,0.15380304037887677,0.2957622086459111,-0.19740952605392226,-0.08215596535583446,0.08604520067727539,0.36352004834751245,-0.2524206421808494,-0.027144849228907322
2,0.2572963241227122,-0.10854589802992325,0.035059430694401435,0.16050096546715492,0.35409168277826947,-0.17737156770314022,-0.03972022835670626,0.06809912237795018,0.4464935258674742,-0.2430732585485092,0.02598146248866269
3,0.31875849732016975,-0.11414080383264844,0.07041738485326725,0.21142292339019553,0.426094071250144,-0.19194450884601086,-0.03633709881928601,0.10895928259249915,0.5285577120478404,-0.26621672439702726,0.03793511673173036
4,0.25800945415512033,-0.05963782479076457,0.0859023029456224,0.13120593624319718,0.38481297206704346,-0.15706062342100924,0.037784973839480096,0.010157996259310437,0.5058609120509302,-0.2500614271514495,0.1307857775699204
5,0.2702005205278788,-0.08820350538009364,0.08002182198904696,0.13708813794885985,0.4033129031068977,-0.1920231772023986,0.015616166442211296,0.010017690985951344,0.5303833500698063,-0.29113050175330135,0.11472349099311407
6,0.3594967223572483,-0.12829950877145924,0.09930776955177227,0.2130796476865387,0.5059137970279579,-0.25365549776952256,-0.0029435197733958807,0.07330840506480857,0.645685039649688,-0.3733216117916758,0.1167225942487573
7,0.3837551156706831,-0.23115822524152949,0.055881412671520386,0.22458149956445422,0.542928731776912,-0.362444220249032,-0.09987223023402694,0.07263273152768585,0.6948774998136804,-0.4877711788861845,0.025454728403125543
8,0.4418356514339561,-0.31714392243221035,0.03804017818936481,0.2792314484733923,0.6044398543945199,-0.45947933271518426,-0.17480851214923646,0.12400780700652325,0.7596634958613889,-0.5953541766093635,-0.03893366825505723
9,0.5006727997541598,-0.3545040726857668,0.04018722826936455,0.3303258529720605,0.6710197465362591,-0.507753037087056,-0.20125510828447757,0.16771090876490918,0.8336346907434105,-0.6540460717828684,-0.05496207358866517
10,0.5336304577033786,-0.4176693222644865,0.025676890378451972,0.35322820873634264,0.7140327066704145,-0.5867010853839708,-0.24863755914500216,0.1810143698341128,0.8862465455726444,-0.7480605417649044,-0.08727810276406861
11,0.5894660942312324,-0.4249539489309368,0.0538781966236159,0.3797615588203864,0.7991706296420784,-0.6129347113930398,-0.23697318646883384,0.1795754564569434,0.9993567320055214,-0.7923830770798904,-0.05752482078198318
12,0.6123085675999691,-0.4589705376624773,0.06265583531198127,0.36611951116652536,0.8584976240334128,-0.6740468805892881,-0.24389419473566656,0.13110491047899125,1.093512224720947,-0.8793609655553049,-0.03858010976964976
13,0.5809893876714316,-0.442937170605548,0.0755775860376931,0.30697711200684646,0.8550016633360167,-0.6790954964423608,-0.20677884476873523,0.045402180603652864,1.1165765947392103,-0.9045346587252687,0.018660317514172742
14,0.5254861416678853,-0.4138469598180513,0.06657339977662716,0.24060827116081274,0.8103640121749579,-0.6669331082787182,-0.1607608113573844,-0.03133906862695113,1.0823113519627219,-0.9085317438220877,0.08083782418598506
15,0.5482060847456158,-0.4542814716904764,0.059314917825914026,0.26428856145657365,0.832123608034658,-0.7185203175370332,-0.19004262584391962,-0.006742021017780542,1.103154190509012,-0.9707654325003455,0.062202489119392745
16,0.6423090330827983,-0.5730590280502617,0.04388857422165196,0.35369387423182036,0.9309241919337763,-0.8409791372596479,-0.3051389188408754,0.07817888062336542,1.2064391855422312,-1.096738424021555,-0.04937963207896845
17,0.6375540198500409,-0.6015800000511503,0.032576645442265656,0.35110753534019085,0.9240005043598909,-0.8679534493362491,-0.3352065507660515,0.0776627805217337,1.1974452591783482,-1.1222362786561737,-0.08092372144612703
18,0.6721986309136168,-0.6857420910855165,0.009392008741168634,0.3946520617740266,0.949745200053207,-0.95246240628363,-0.4190217758874031,0.129703257535972,1.2146940042912615,-1.207076357365099,-0.16440782480593408
19,0.7309358878989878,-0.724138307513696,0.01854913517140533,0.4535224399620439,1.0083493358359317,-1.0106498269784958,-0.4376267880488961,0.18870071459067894,1.2731710612072966,-1.2841566648326075,-0.16411995019478454
20,0.8768355625974344,-0.8180648154684507,0.03059729276955342,0.5971300312322353,1.1565410939626335,-1.1155024896055816,-0.5206271413313197,0.3301202594893634,1.4235508657055056,-1.3994395468795493,-0.23669008405735215
21,0.9010738766476414,-0.8303923569943281,0.044666993576577496,0.6132865012976425,1.1888612519976403,-1.1444799572248279,-0.5163047567638285,0.3385617183173797,1.463586034977903,-1.4443112048783253,-0.21647350911033103
22,0.9318840553500394,-0.8680584936761309,0.04731951035852522,0.6274748595287909,1.2362932511712879,-1.1925297772382784,-0.5435872101139834,0.33688271608441,1.5268853946156686,-1.5022733956007182,-0.23384359175154357
23,0.9679201559440349,-0.8985375571903796,0.05265093261016213,0.6563369489162387,1.279503362971831,-1.2274224811973191,-0.5696526331834403,0.35889642072454264,1.5769438911635272,-1.5413794060394947,-0.25569570834126454
24,1.0856675290551823,-0.9621394698626271,0.07297498801684332,0.7703129584762219,1.4010220996341425,-1.2873664114259011,-0.6369125282993531,0.46927224792116407,1.7020628101892004,-1.5978313886739217,-0.3264475510513324
