spec,diff,wald_p
v/u (Barnichon),2.0478069989178094,0.002085478298418334
"v/u (Barnichon), drop 2021-22",1.6500019767324832,0.029143840447758102
"v/u (Barnichon), pre-2020",1.8395846363712165,0.03909427704364183
"v/u (Barnichon), n_lags=12",3.279709676357372,3.200648992411075e-05
"v/u JOLTS only, 2001+",2.213979547721035,0.002682666778760163
u-gap tightness,1.2169099669480163,0.04535185707034192
wage cyclical (vs trend),0.20841671918785565,0.824587411036401
demand-driven (Shapiro),1.757620281648741,0.049933602985875174
exp. de-anchoring (5y-10y),1.221357178786703,0.10508682359150685
