spec,diff,wald_p
v/u >= 1 (hard),-0.3024635244624028,0.2681783830580243
"v/u >= 1 (hard), drop 2021-22",-0.6278010391374212,0.03539327269072311
"v/u >= 1 (hard), pre-2020",-0.4427396220148771,0.23487898212475566
"v/u >= 1 (hard), n_lags=12",-0.08302389204751703,0.7948742632953473
"v/u JOLTS only, 2001+",1.372481772214127,0.0016609015479042005
u-gap tightness,-0.36641477761671026,0.5655101201041425
wage cyclical (vs trend),-1.1916957856850179,0.03542876760905292
demand-driven (Shapiro),1.306906720699969,0.18497957164592715
exp. de-anchoring (5y-10y),0.2037351085826622,0.6378595192886183
