h,b_pos,se_pos,b_neg,se_neg,p_sign_sym,n,b_size,p_size,b_state,p_state
6,-0.061035711577275005,0.09783472534378304,-0.004075188296510636,0.151505522704757,0.7756720794118748,603,0.15639437299414563,0.016210954557448278,0.0038607594096616467,0.8970281722826822
12,0.13451978234647036,0.19561914153300086,-0.017090550854897017,0.2658742496333127,0.6869481884126112,597,0.15477823806105992,0.11047833984168391,0.06969162237326128,0.23983166748083484
24,0.42497919596243416,0.32599171524056814,-0.518705850016015,0.3981970096184406,0.09978675688995256,585,0.30730972573976634,0.016818097836745212,0.10780221386946734,0.24106950447357878
