spec,hot_h24,slack_h24,diff_h24,wald_p
"v/u, full 1975-2025",-0.2916314537010283,0.6150246887394359,-0.9066561424404642,0.24115662782110014
"v/u, drop 2021-22",-0.7013434671720422,0.885420040626577,-1.586763507798619,0.09076869410439771
"v/u, pre-2020",-1.0325646959161916,1.1354625752073915,-2.168027271123583,0.018896424363590267
"v/u, 1983+ (CPI-matched)",0.6171868565843455,0.01439127038406296,0.6027955862002825,0.3756718283111308
"v/u JOLTS only, 2001+",0.9957379466056144,-0.3562944774032033,1.3520324240088177,0.036939775486370355
