h,hot_full,hot_ex2122,slack
0,0.015091199007267957,0.072553093072909,0.008992241888587254
1,0.03203428553900903,0.08629656485176844,0.033589071830314704
2,-0.007060108081098193,0.019026616444666043,0.0582475200895492
3,0.006835301144986705,0.011193797792791782,0.08141121172953994
4,-0.05980456582045024,-0.025657674899148525,0.09622637185657917
5,-0.021893982493636333,-0.019433075966090452,0.10883829411185705
6,0.007770435256546859,0.09862553983703924,0.11210912416526092
7,0.0694410902488028,0.18883543516088291,0.11049335220987933
8,0.1152873888133838,0.2367022711985629,0.10898074513810777
9,0.1563427002921287,0.20942633256039395,0.14243460496973484
10,0.15014080272495423,0.18059791200247022,0.1607547581266433
11,0.21605780636422423,0.25865849704966626,0.16964640393872232
12,0.17499252749448202,0.1917090849664394,0.19895073098981478
13,0.14728462157433742,0.2355424618387989,0.21153116580402054
14,0.12452944023156642,0.19005428273393166,0.23016998631937172
15,0.16397668853331837,0.17024433069483502,0.23435846663161458
16,0.14166183312392966,0.09264009158110376,0.2511717480166108
17,0.19049012535690568,0.2713281720109373,0.2913890285298564
18,0.3052988247631202,0.4213269777485391,0.30406909415049094
19,0.230090612578985,0.3313679884721278,0.3444694997427273
20,0.25409179410317295,0.28405650616686584,0.3728920476040512
21,0.20717266454615058,0.06343263579643499,0.3986970601997938
22,0.1406708200850142,-0.18506646019624484,0.4354674032567019
23,0.14424120531408557,-0.17543308131436375,0.4606540051675442
24,0.1750042900367509,-0.19423583829883673,0.4774678144991537
