spec,diff,wald_p
v/u (Barnichon),0.11008127683273972,0.8374040234219189
"v/u (Barnichon), drop 2021-22",-0.2862381461855955,0.6598765148132798
"v/u (Barnichon), pre-2020",-0.6935348219607118,0.31996097580482386
"v/u (Barnichon), n_lags=12",0.5124654900642018,0.3447558166317275
"v/u JOLTS only, 2001+",1.372481772214127,0.0016609015479042005
u-gap tightness,-0.36641477761671026,0.5655101201041425
wage cyclical (vs trend),-1.1916957856850179,0.03542876760905292
demand-driven (Shapiro),1.306906720699969,0.18497957164592715
exp. de-anchoring (5y-10y),0.2037351085826622,0.6378595192886183
