months_after_shock,hot,slack,linear_no_state,hot_lower60,hot_upper60,slack_lower60,slack_upper60,hot_lower90,hot_upper90,slack_lower90,slack_upper90
0,0.0381700377362868,-0.010970709219692364,0.012307565065534392,0.006936121964506312,0.06940395350806729,-0.0313237798559753,0.009382361416590577,-0.02288009468360258,0.09922017015617618,-0.050753030033244446,0.02881161159385972
1,0.07973249929173884,-0.0031440166569351446,0.03655660712213334,0.03826318989016761,0.12120180869331007,-0.03563526803211465,0.02934723471824436,-0.001323838595125068,0.16078883717860276,-0.06665175015523633,0.060363716841366044
2,0.059097542700922184,0.03627197649491076,0.05897381221966736,0.007128066615553867,0.1110670187862905,-0.003868336420917516,0.07641228941073905,-0.04248252878247952,0.16067761418432389,-0.04218669121722983,0.11473064420705135
3,0.05357703190314139,0.07757596368397601,0.08942746999529953,-0.003077381291752737,0.11023144509803552,0.024801303176554296,0.13035062419139773,-0.05716026575085201,0.1643143295571348,-0.025577929536923144,0.18072985690487517
4,0.004960519212404424,0.1195924916825935,0.1031725435972928,-0.06084491342695719,0.07076595185176604,0.05188753715373497,0.18729744621145206,-0.12366345499357212,0.13358449341838097,-0.012744307509388764,0.2519292908745758
5,0.04703552621229412,0.10529250759731218,0.12647928787363347,-0.030874196919048733,0.12494524934363697,0.019535761835403162,0.19104925335922118,-0.10524761845388816,0.1993186708784764,-0.06232850806136217,0.2729135232559865
6,0.07444039234762129,0.08743505876061039,0.14156355780783236,-0.013045892542011717,0.1619266772372543,-0.010513938834873504,0.18538405635609428,-0.09656119824582726,0.24544198294106984,-0.10401705749957377,0.2788871750207945
7,0.0856016539481263,0.08153323395637402,0.1585263194012147,-0.011099164957523222,0.18230247285377582,-0.03292543162765958,0.19599189954040763,-0.10341075943090586,0.27461406732715843,-0.1421888488451175,0.30525531675786555
8,0.10268620010283591,0.06272584516093027,0.17450192190597386,-0.00028759127144702135,0.20565999147711883,-0.06497866495400226,0.1904303552758628,-0.09858742966272424,0.3039598298683961,-0.18688670134461155,0.3123383916664721
9,0.13628715635728256,0.08450700443643022,0.21621764024522105,0.027350450318524566,0.24522386239604055,-0.05509844760618307,0.22411245647904351,-0.07664164762769476,0.3492159603422599,-0.18836724533792681,0.35738125421078726
10,0.16075888309119268,0.0761164930767432,0.2383749350650558,0.04524881951093722,0.27626894667144813,-0.06607070178233257,0.21830368793581897,-0.06501827302753382,0.3865360392099192,-0.2018040577112554,0.3540370438647418
11,0.22912370682504224,0.0353198007836637,0.2629920355418858,0.10622111863402904,0.3520262950160554,-0.10845724212939531,0.1790968436967227,-0.011102953790709552,0.46935036744079406,-0.24570828333228456,0.31634788489961196
12,0.21162521888334485,0.0751221486154714,0.2970517597740311,0.09120756763618983,0.3320428701304999,-0.06681341461463802,0.21705771184558081,-0.023744358471182253,0.44699479623787197,-0.20230656040725908,0.3525508576382019
13,0.2342691852665651,0.0547365785916909,0.31812131697849466,0.10629470860247348,0.3622436619306567,-0.09357028600627407,0.20304344318965586,-0.01587104062748279,0.484409411160613,-0.23514554149344735,0.34461869867682915
14,0.22987287847570237,0.057168834061174956,0.33346979149600314,0.09252114452547758,0.3672246124259272,-0.10069011206447198,0.2150277801868219,-0.03859623077824226,0.498341987729647,-0.2513838826411649,0.3657215507635148
15,0.21522141579516324,0.0685209298767614,0.3430110722155746,0.06669418708556543,0.3637486445047611,-0.10053750979394857,0.23757936954747136,-0.07509143024486575,0.5055342618351922,-0.2619224318845479,0.3989642916380707
16,0.22490672681035084,0.0573825044295459,0.35165765684487044,0.05752802868950069,0.392285424931201,-0.12096926254969356,0.23573427140878536,-0.10225339487310747,0.5520668484938092,-0.2912256902957974,0.4059906991548892
17,0.2695825019111534,0.07750326020677578,0.39853448182860596,0.09755858805451972,0.4416064157677871,-0.10928513967116105,0.2642916600847126,-0.06665720613799392,0.6058222099603008,-0.287595263794182,0.44260178420773355
18,0.35953368098667116,0.027711506885029102,0.42294137211387817,0.18195740370568753,0.5371099582676548,-0.16725602792242966,0.22267904169248787,0.012441266386839789,0.7066260955865025,-0.35337403821747765,0.40879705198753585
19,0.32622811917446426,0.0808895712361064,0.45184039510062635,0.1358410856253319,0.5166151527235966,-0.12351006681561738,0.2852892092878302,-0.045904331144360266,0.6983605694932888,-0.3186320596991189,0.4804112021713317
20,0.3718851841784335,0.08371684946857738,0.4916227174780691,0.17023954940422595,0.5735308189526411,-0.12704513751499383,0.29447883645214856,-0.02225344367752119,0.7660238120343883,-0.3282406940057271,0.49567439294288185
21,0.37028813099727076,0.09759731183129194,0.5134522571220562,0.15373423079821422,0.5868420311963273,-0.12520954097875953,0.3204041646413434,-0.05299034550872733,0.7935666075032688,-0.3379032500419669,0.5330978737045509
22,0.32550588659920854,0.15408356516746768,0.5354266011781648,0.08964736237655715,0.56136441082186,-0.08193411876869217,0.39010124910362753,-0.13550560620766117,0.7865173794060782,-0.30723902284938465,0.61540615318432
23,0.3122408695362098,0.17577686296879613,0.5581814360746222,0.051129419814872734,0.5733523192575468,-0.07054693259672593,0.4221006585343182,-0.1981302507009569,0.8226119897733765,-0.3056901566429954,0.6572438825805877
24,0.29997923204441146,0.18989795521167174,0.5753707276100529,0.01649263770998971,0.5834658263788333,-0.06811590271875073,0.4479118131420942,-0.2541265755602984,0.8540850396491213,-0.3144185803106012,0.6942144907339447
