spec,diff,wald_p
v/u >= 1 (hard),0.6154823693863793,0.11541249282562281
"v/u >= 1 (hard), drop 2021-22",-0.13986527768917034,0.7785897828864999
"v/u >= 1 (hard), pre-2020",0.1253558280574522,0.8397571875811181
"v/u >= 1 (hard), n_lags=12",0.7394224484913928,0.01901218804135621
"v/u JOLTS only, 2001+",2.213979547721035,0.002682666778760163
u-gap tightness,1.2169099669480163,0.04535185707034192
wage cyclical (vs trend),0.20841671918785565,0.824587411036401
demand-driven (Shapiro),1.757620281648741,0.049933602985875174
exp. de-anchoring (5y-10y),1.221357178786703,0.10508682359150685
