spec,hot_h24,slack_h24,diff_h24,wald_p
"v/u (Barnichon), 1983+",1.0856675290550868,-0.9621394698626221,2.047806998917709,0.0020854782984138683
"v/u, drop 2021-22",0.7527641930356088,-0.8972377836968808,1.6500019767324896,0.029143840447784786
"v/u, pre-2020 (long)",0.869543737568137,-0.9700408988030567,1.8395846363711936,0.03909427704370378
"v/u JOLTS only, 2001+",1.076686359802295,-1.137293187918719,2.213979547721014,0.0026826667788062155
"v/u, n_lags=12",1.7569405433584593,-1.5227691329989135,3.2797096763573728,3.2006489923925185e-05
"u-gap tightness, 1983+",0.6880647358754703,-0.5288452310725824,1.2169099669480528,0.045351857070075295
wage cyclical (vs 5y trend),0.13538076165193313,-0.07303595753588432,0.20841671918781746,0.8245874110364398
exp. de-anchoring (5y-10y),0.8816058552312496,-0.3397513235553732,1.2213571787866226,0.10508682359163296
Shapiro demand-driven (side),1.2635661918637613,-0.49405408978510756,1.7576202816488689,0.04993360298571836
