component,hot_h12,slack_h12,hot_h24,slack_h24,diff_h24,wald_p_h24,start
Supercore (total),0.6123085676000124,-0.45897053766247786,1.0856675290550868,-0.9621394698626221,2.047806998917709,0.0020854782984138683,1983
Airfares,9.164481150384301,-4.303198594286991,6.286120709341273,-0.3299507823357192,6.616071491676992,0.23463525433295263,1989
Transportation services,1.0613706550338506,-0.5182384511946634,1.0437711089234858,-0.552856280912598,1.5966273898360837,0.316849914251483,1975
Lodging away from home,1.909139837916947,-3.910675006322662,4.9252992369368105,-5.307137289393575,10.232436526330385,0.001308802427258259,1997
Medical-care services,-0.008686679614006265,-0.19974731878756513,-0.9077657633487086,-0.10031931060627208,-0.8074464527424365,0.243220137553933,1975
Recreation services,-0.09756509946883352,1.0011125455106102,0.5678442525950551,1.1356004118698564,-0.5677561592748013,0.40372697041294536,2010
Education & comms,0.08019957687439438,-0.3957584465486169,0.14530439457455024,-0.8270271749305498,0.9723315695051,0.29040847553317606,2010
