date,surprise,shock
1975-01-01,0.0,-0.44017160994746324
1975-02-01,0.0,0.8049542997190043
1975-03-01,0.0,0.0225998187216766
1975-04-01,0.0,-0.39679736617922623
1975-05-01,0.0,-0.15334921798770657
1975-06-01,0.0,0.1503029436628496
1975-07-01,0.0,-0.2833171293120534
1975-08-01,0.0,-0.435056610259722
1975-09-01,0.0,-0.6825800546677331
1975-10-01,0.0,-1.2066844685510776
1975-11-01,0.0,-0.049717120285988105
1975-12-01,0.0,0.029270525333011433
1976-01-01,0.0,0.30482443877184345
1976-02-01,0.0,-0.20779219797858725
1976-03-01,0.0,-0.5503545224793474
1976-04-01,0.0,-0.3234003754345396
1976-05-01,0.0,-0.7536059075365982
1976-06-01,0.0,0.463648526821993
1976-07-01,0.0,0.16426470484117003
1976-08-01,0.0,0.11334405290167804
1976-09-01,0.0,1.1085809555572768
1976-10-01,0.0,0.7643349195778326
1976-11-01,0.0,-0.23449977620137213
1976-12-01,0.0,-0.1840886455109221
1977-01-01,0.0,-0.19901466428714296
1977-02-01,0.0,-0.033770569353791635
1977-03-01,0.0,-0.7421272289750118
1977-04-01,0.0,0.6086371419361333
1977-05-01,0.0,0.7268771987395449
1977-06-01,0.0,-0.0624372766667258
1977-07-01,0.0,0.23882389755721808
1977-08-01,0.0,0.6871034951918352
1977-09-01,0.0,-0.4390890594856926
1977-10-01,0.0,-0.8457836458254219
1977-11-01,0.0,0.5077257093520955
1977-12-01,0.0,0.016296612152284406
1978-01-01,0.0,-0.403184538306033
1978-02-01,0.0,-0.6332376403327249
1978-03-01,0.0,-0.30365155280093725
1978-04-01,0.0,-0.9552577387087251
1978-05-01,0.0,-0.9643198709744969
1978-06-01,0.0,0.11744887863106321
1978-07-01,0.0,0.28845625356829363
1978-08-01,0.0,-0.8752870072924441
1978-09-01,0.0,0.6529821049373522
1978-10-01,0.0,-0.24493858391182094
1978-11-01,0.0,-0.464631470934178
1978-12-01,0.0,-0.5244060768443738
1979-01-01,0.0,-0.3118206393665572
1979-02-01,0.0,0.6568557362188416
1979-03-01,0.0,0.19990786788101816
1979-04-01,0.0,0.18313067095932922
1979-05-01,0.0,0.2098517972676788
1979-06-01,0.0,1.016136309420451
1979-07-01,0.0,0.5400120079435063
1979-08-01,0.0,1.443952802191421
1979-09-01,0.0,0.6469747933017587
1979-10-01,0.0,0.5369508082484884
