date,ipcucst,ipcuhsho,ipcuhsro,ipcuhsrr,ipcums,irdecs,irers,iusxegm
1982-12-01,6.863,13.49,,6.029,5.019,,,42.431
1983-01-01,6.869995834667705,13.556649979550103,,6.053696422840963,5.065477801014703,,,42.606964689561245
1983-02-01,6.855975435005118,13.569699856996936,,6.072171436054582,5.111834253620573,,,42.694677425522315
1983-03-01,6.855975435005118,13.556251195097037,,6.084500718158246,5.122140371067389,,,42.738421972064856
1983-04-01,6.828162147236333,13.580188722109533,,6.065787969001923,5.096009241638344,,,42.652175117623976
1983-05-01,6.79377404496979,13.524595322580646,,6.041267444168735,5.0753576625361285,,,42.48054081462455
1983-06-01,6.780180731703554,13.523514854271356,,6.047314612034531,5.070195467554042,,,42.48158213196281
1983-07-01,6.773621375725778,13.535263743743744,,6.053307264187264,5.085243645293079,,,42.48296082638998
1983-08-01,6.7875525264721315,13.534158882235527,,6.059276139004042,5.105261789500299,,,42.52672805371676
1983-09-01,6.7878922628600815,13.532332075471695,,6.065149744608253,5.094942250794388,,,42.61326999729915
1983-10-01,6.822034962554598,13.531244673267327,,6.071036165524244,5.104783236634684,,,42.69870538871881
1983-11-01,6.855975435005119,13.556543557312253,,6.076928930779366,5.1246048774133675,,,42.783592971212045
1983-12-01,6.865,13.582,,6.088,5.133,,,42.863
1984-01-01,6.898611901485193,13.540789279291545,,6.075840578902994,5.152269716321035,,,42.947127576054946
1984-02-01,6.871624763082468,13.513244678902508,,6.0638522581335605,5.181289126909554,,,42.90485839843749
1984-03-01,6.8782830864966495,13.538232864191315,,6.08143922973339,5.1810203061809075,,,42.94655360623781
1984-04-01,6.8582297830374745,13.561968537073218,,6.092916936988578,5.170569336974735,,,42.94614839961203
1984-05-01,6.878127935212632,13.560819958723961,,6.09274712230352,5.165322780084311,,,42.9459071566731
1984-06-01,6.8979109582527345,13.559678025958206,,6.104216453075728,5.16497001628401,,,42.987000964320146
1984-07-01,6.910934718930176,13.621403400300597,,6.115541581837425,5.179037075445065,,,43.06887415946206
1984-08-01,6.936984574804412,13.619660581030654,,6.126780011048793,5.183344034453474,,,43.150120574162685
1984-09-01,6.917014609749224,13.630039865117338,,6.126340046593979,5.173071112650686,,,43.230397142857136
1984-10-01,6.962438402722755,13.641221487024996,,6.143270060566865,5.187070249612442,,,43.31076163342831
1984-11-01,6.995003596374406,13.678731720261549,,6.166192710046591,5.215807480912235,,,43.43287844254512
1984-12-01,7.012,13.728,,6.198,5.223,,,43.544
1985-01-01,7.037697120754068,13.726933416206975,,6.209119923609954,5.251324782255508,,,43.62392485095451
1985-02-01,7.010968118988806,13.749124899474175,,6.213974338227601,5.259844537640732,,,43.620284542408754
1985-03-01,7.010384568663999,13.72218340934303,,6.207620712478979,5.277973548100315,,,43.61739692923898
1985-04-01,6.9904215795357105,13.707263475900563,,6.2067987252930426,5.267434141401844,,,43.57373157199933
1985-05-01,6.977140872310212,13.803400913632682,,6.234254199447711,5.266590326000325,,,43.69085210302149
1985-06-01,6.970430895403382,13.801622036687183,,6.2449016312899825,5.275331619979624,,,43.76816468748915
1985-07-01,6.995656869990335,13.861505520240883,,6.261292722197265,5.302954979942148,,,43.88571994520833
1985-08-01,6.989049860724232,13.933357377049177,,6.28879325323475,5.325808363886343,,,44.042517757009335
1985-09-01,6.963359285179669,13.931230007719906,,6.299220787399962,5.334329119387789,,,44.11835648639553
1985-10-01,7.019726563360862,13.94052344398027,,6.325982549607443,5.342525225627089,,,44.23196442579679
1985-11-01,7.0758822928113245,13.998781651376145,,6.3528422662755,5.364819784895601,,,44.3461086307125
1985-12-01,7.084,14.015,,6.354,5.378,,,44.36
1986-01-01,7.120876290291325,14.024708754887623,,6.358628889826049,5.413919601516244,,,44.51237861978612
1986-02-01,7.18430442477876,14.099355116079106,,6.381602085143353,5.479558798283262,,,44.79144120247569
