,diff_h12,p_h12,diff_h24,p_h24
"v/u, full 1987-2025",0.6654038886035223,0.004801025994355262,1.3543653286941502,0.005561809407042654
"v/u, drop 2021-22",0.3812215193279597,0.14976249366002783,1.10939350583845,0.04074804338340604
"v/u, pre-2020",0.4067400864126309,0.19518421647180317,0.8866601737404982,0.13092638157517
"v/u, n_lags=12",1.0008007931870395,1.2211965672925429e-05,2.102010375686361,5.651129764623578e-05
u-gap tightness,0.5554844980373783,0.036982521726938986,0.8822634850182411,0.10771732947036676
