h,hot_full,hot_ex2122,slack
0,0.02771440970066713,0.09236772406493912,0.011677778109392054
1,0.042605652524620674,0.02970258605490761,0.02807818216945018
2,0.06895811114938566,0.047065066260441046,0.047835698807326826
3,0.07509286754986566,-0.011933406695702864,0.05480934310488719
4,0.021686039216116892,-0.14258038525964523,0.061007387009938775
5,0.13718324603292398,-0.055778974451243024,0.07660015291022175
6,0.13320384721282774,0.05670956069380084,0.08455861197963782
7,0.12183398605159379,0.0181663419342879,0.06893961806097992
8,0.14490817727232286,0.03649499306003956,0.040515519703973574
9,0.2601060625235241,0.038165371745532806,0.04011329582161374
10,0.26660202993855053,0.04486036882111877,0.04687149573501259
11,0.33159455531761894,0.06047717457180324,0.041368834025971496
12,0.3688363590387249,0.031635927601352365,0.06088928011913049
13,0.3643929582838832,0.17874158701802179,0.05663702507053772
14,0.39028221575874045,0.1517583713685744,0.037700939481988494
15,0.4381299150509632,0.17818791116217036,0.02091052769001364
16,0.4998421372269033,0.18966661980966337,0.004223829817054797
17,0.5263532868724627,0.29212614364124967,0.00924962811241295
18,0.5400548080861272,0.2707822402091348,-0.000726508287323846
19,0.5015768576122352,0.18091883791302088,0.007414815858681173
20,0.588120807038043,0.4287970431138899,-0.004761726021920237
21,0.6063186746489464,-0.006917000152145247,-0.01150154988230806
22,0.6386846715986909,-0.08356108458834544,-0.0059016159784202465
23,0.6715131573368911,0.11982802770512246,-0.002273078386482774
24,0.7188084806134638,0.2171230415599501,0.007528215684860451
