h,b_pos,se_pos,b_neg,se_neg,p_sign_sym,n,b_size,p_size,b_state,p_state
6,0.08499135618583245,0.05451312125791379,0.025626671906182424,0.0646686432094174,0.5064619087157418,459,0.016998666713553143,0.5317517546918946,0.04355057168203868,0.011924234170311012
12,0.09458031421967134,0.10298567855980388,0.07160730943653987,0.12571387439926898,0.8965541888895093,453,0.03932480278374764,0.4565532688858055,0.11076410498757686,0.0010244381951158656
24,0.03461341376258631,0.20585107473766548,0.01727807606618867,0.22215882907554182,0.9602122579992798,441,0.11964108954130581,0.11576159398998259,0.13900992357446135,0.0029637432099154926
