months_after_shock,hot,slack,linear_no_state,hot_lower60,hot_upper60,slack_lower60,slack_upper60,hot_lower90,hot_upper90,slack_lower90,slack_upper90
0,0.02771440970066713,0.011677778109392054,0.015607433397770213,-0.008615369449409473,0.06404418885074373,0.0004950323452276063,0.022860523873556502,-0.04329614959338707,0.09872496899472133,-0.010180131565097627,0.03353568778388173
1,0.042605652524620674,0.02807818216945018,0.02637224826702367,0.0021791823413940467,0.0830321227078473,0.008316271290262574,0.04784009304863779,-0.036412341120112934,0.12162364616935428,-0.010548651713942894,0.06670501605284325
2,0.06895811114938566,0.047835698807326826,0.04597036320341419,0.014591044505082168,0.12332517779368915,0.021698594892447597,0.07397280272220605,-0.0373083154545583,0.17522453775332963,-0.0032521528323788892,0.09892355044703255
3,0.07509286754986566,0.05480934310488719,0.054671638467485115,0.012274547444782527,0.1379111876549488,0.02269671861079385,0.08692196759898053,-0.04769246583043586,0.19787820093016717,-0.00795832240459897,0.11757700861437335
4,0.021686039216116892,0.061007387009938775,0.05872364716445377,-0.05297009903898141,0.09634217747121519,0.022990953301956704,0.09902382071792085,-0.12423761504913586,0.16760969348136964,-0.013299924598462486,0.13531469861834003
5,0.13718324603292398,0.07660015291022175,0.0875974093589557,0.05294104712640936,0.2214254449394386,0.03454397202276175,0.11865633379768176,-0.02747742079361659,0.30184391285946455,-0.005603290007876752,0.15880359582832027
6,0.13320384721282774,0.08455861197963782,0.09468475768988377,0.04151172946334018,0.2248959649623153,0.03329330453274236,0.13582391942653327,-0.04601850746624431,0.3124262018918998,-0.015645084253897143,0.1847623082131728
7,0.12183398605159379,0.06893961806097992,0.08119521200905513,0.020741384188648057,0.2229265879145395,0.01047500051629216,0.1274042356056677,-0.07576265138251473,0.3194306234857023,-0.04533592359896704,0.1832151597209269
8,0.14490817727232286,0.040515519703973574,0.0638115949836125,0.0319643852770167,0.257851969267629,-0.02502135511106761,0.10605239451901476,-0.07585291806070782,0.36566927260535353,-0.08758352862152874,0.1686145680294759
9,0.2601060625235241,0.04011329582161374,0.0771053381392548,0.14554380786426538,0.3746683171827828,-0.033900721163281466,0.11412731280650895,0.03618150345213558,0.4840306215949126,-0.10455526161678053,0.184781853260008
10,0.26660202993855053,0.04687149573501259,0.0823020983426846,0.17362612508495198,0.35957793479214906,-0.03512430196837128,0.12886729343839648,0.0848703718062197,0.44833368807088136,-0.11339833223797513,0.2071413237080003
11,0.33159455531761894,0.041368834025971496,0.08944656254696033,0.24426767306206043,0.41892143757317746,-0.04717561145156959,0.12991327950351259,0.1609045347491853,0.5022845758860526,-0.13170104811584776,0.21443871616779075
12,0.3688363590387249,0.06088928011913049,0.11606404179166521,0.2707805293157466,0.46689218876170324,-0.03354396510322109,0.15532252534148205,0.17717542760538443,0.5604972904720654,-0.12369091045925394,0.2454694706975149
13,0.3643929582838832,0.05663702507053772,0.11847197838602835,0.24830562051952548,0.4804802960482409,-0.0479766957969045,0.16125074593797994,0.13748745611852148,0.5912984604492448,-0.14784202771812965,0.2611160778592051
14,0.39028221575874045,0.037700939481988494,0.0915837656190797,0.26524071670218935,0.5153237148152916,-0.074450163983917,0.149852042947894,0.14587481800680774,0.6346896135106732,-0.18151075871360864,0.25691263767758565
15,0.4381299150509632,0.02091052769001364,0.07670752549612408,0.30305772519703544,0.573202104904891,-0.10092539277778584,0.14274644815781312,0.17411642608980454,0.7021434040121219,-0.21723121324336342,0.2590522686233907
16,0.4998421372269033,0.004223829817054797,0.06828842251618086,0.3559604057832383,0.6437238686705683,-0.1311992235005083,0.1396468831346179,0.21860942783428344,0.7810748466195232,-0.26047546047214587,0.2689231201062555
17,0.5263532868724627,0.00924962811241295,0.07757120262511885,0.36556347989116406,0.6871430938537615,-0.13588972134167887,0.15438897756650477,0.2120718794529804,0.8406346942919452,-0.27444123435429457,0.2929404905791204
18,0.5400548080861272,-0.000726508287323846,0.07010593171123225,0.3680111633819158,0.7120984527903385,-0.15404594595459495,0.15259292937994726,0.20377653391974448,0.8763330822525098,-0.30040625515360353,0.29895323857895584
19,0.5015768576122352,0.007414815858681173,0.07679437231867023,0.32556212037693155,0.677591594847539,-0.15382953076457223,0.16865916248193458,0.15753664521670946,0.845617070007761,-0.3077550394113424,0.3225846711287047
20,0.588120807038043,-0.004761726021920237,0.08372524603217527,0.38515561667852133,0.7910859973975648,-0.16808231548729943,0.15855886344345896,0.19140296228826498,0.9848386517878212,-0.3239898268662035,0.31446637482236295
21,0.6063186746489464,-0.01150154988230806,0.0832403027748723,0.4082135407547897,0.804423808543103,-0.1828600355932752,0.1598569358286591,0.21910034616048663,0.9935370031374062,-0.346440605246544,0.3234375054819279
22,0.6386846715986909,-0.0059016159784202465,0.08403501607709951,0.44657626062154215,0.8307930825758396,-0.18383806606903802,0.17203483411219755,0.2631875992871299,1.0141817439102518,-0.35369802804955414,0.3418947960927136
23,0.6715131573368911,-0.002273078386482774,0.09638845007645344,0.43748632169412566,0.9055399929796566,-0.18426878127661572,0.17972262450365017,0.21408190183267395,1.1289444128411081,-0.3580037476524865,0.35345759087952094
24,0.7188084806134638,0.007528215684860451,0.11106929195461562,0.4884011967942467,0.9492157644326809,-0.1814152582122943,0.1964716895820152,0.2684520382624513,1.1691649229644763,-0.36178263811839473,0.37683906948811563
