spec,diff,wald_p
v/u >= 1 (hard),0.7112802649286034,0.0468020510089944
"v/u >= 1 (hard), drop 2021-22",0.18869940295190935,0.7195676398546347
"v/u >= 1 (hard), pre-2020",-0.0007634922103372244,0.9983579268079176
"v/u >= 1 (hard), n_lags=12",0.5765649286612881,0.24644207182021127
"v/u JOLTS only, 2001+",1.641516215250377,0.00029679347382795604
u-gap tightness,0.8822634850182411,0.10771732947036676
wage cyclical (vs trend),-0.9907040169338037,0.09757144945426302
demand-driven (Shapiro),0.7095879797348952,0.4185250636906853
exp. de-anchoring (5y-10y),0.6788065887888594,0.2613682291090006
